19:44:58.947 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
19:45:00.598 | Info | '"message"' | 
19:45:00.599 | Info | '{"API_USER_ID":"alkhidmatweb","PARAMS":{"FIELDS":{"TITLE":"New lead","NAME":"John","EMAIL":[{"VALUE":"mail@example.com","VALUE_TYPE":"WORK"}],"PHONE":[{"VALUE":"555888","VALUE_TYPE":"WORK"}],"UF_CRM_1605363046":"426","UF_CRM_1606121338":"87","UF_CRM_1606121569":"91","UF_CRM_1614769815948":"2","UF_CRM_1614834920":"Hello","OPPORTUNITY":"2000","ADDRESS":"Hey","UF_CRM_1614841133":"Regular"}},"PUNCH_DATE":"7/4/2021","DONATION_REF_NUM":"4D0421197","CENTER_ID":"4","SOURCE":"5","NAME":"John","EMAIL":"mail@example.com","PHONE":"555888","AMOUNT":"2000","METHOD_ID":"91","TYPE_ID":"87","PURPOSE_ID":"426","QUANTITY":"2","PKG":"Hello","FREQUENCY":"Regular","ADDRESS":"Hey"}' | 
19:46:14.623 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
19:46:15.317 | Info | '"message"' | 
19:46:15.318 | Info | '{"API_USER_ID":"alkhidmatweb","PARAMS":{"FIELDS":{"TITLE":"New lead","NAME":"John","EMAIL":[{"VALUE":"mail@example.com","VALUE_TYPE":"WORK"}],"PHONE":[{"VALUE":"555888","VALUE_TYPE":"WORK"}],"UF_CRM_1605363046":"426","UF_CRM_1606121338":"87","UF_CRM_1606121569":"91","UF_CRM_1614769815948":"2","UF_CRM_1614834920":"Hello","OPPORTUNITY":"2000","ADDRESS":"Hey","UF_CRM_1614841133":"Regular"}},"PUNCH_DATE":"7/4/2021","DONATION_REF_NUM":"4D0421199","CENTER_ID":"4","SOURCE":"5","NAME":"John","EMAIL":"mail@example.com","PHONE":"555888","AMOUNT":"2000","METHOD_ID":"91","TYPE_ID":"87","PURPOSE_ID":"426","QUANTITY":"2","PKG":"Hello","FREQUENCY":"Regular","ADDRESS":"Hey"}' | 
19:48:00.888 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
19:48:01.500 | Info | '"message"' | 
19:48:01.501 | Info | '{"API_USER_ID":"alkhidmatweb","PARAMS":{"FIELDS":{"TITLE":"New lead","NAME":"John","EMAIL":[{"VALUE":"mail@example.com","VALUE_TYPE":"WORK"}],"PHONE":[{"VALUE":"555888","VALUE_TYPE":"WORK"}],"UF_CRM_1605363046":"426","UF_CRM_1606121338":"87","UF_CRM_1606121569":"91","UF_CRM_1614769815948":"2","UF_CRM_1614834920":"Hello","OPPORTUNITY":"2000","ADDRESS":"Hey","UF_CRM_1614841133":"Regular"}},"PUNCH_DATE":"7/4/2021","DONATION_REF_NUM":"4D0421201","CENTER_ID":"4","SOURCE":"5","NAME":"John","EMAIL":"mail@example.com","PHONE":"555888","AMOUNT":"2000","METHOD_ID":"91","TYPE_ID":"87","PURPOSE_ID":"426","QUANTITY":"2","PKG":"Hello","FREQUENCY":"Regular","ADDRESS":"Hey"}' | 
19:51:21.466 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
19:51:21.709 | Info | '"message"' | 
